Release date,Title,Genre,Runtime,Language,Type,Rating,Original Index
2015-03-06,My Own Man,Documentary,0 days 01:21:00,English,Documentaries,,0
2015-05-22,The Other One: The Long Strange Trip of Bob Weir,Documentary,0 days 01:23:00,English,Documentaries,,1
2015-05-29,Hot Girls Wanted,Documentary,0 days 01:24:00,English,Documentaries,6.1,2
2015-06-26,"What Happened, Miss Simone?",Documentary,0 days 01:24:00,English,Documentaries,7.6,3
2015-07-17,Tig,Documentary,0 days 01:20:00,English,Documentaries,7.4,4
2015-09-18,Keith Richards: Under the Influence,Documentary,0 days 01:21:00,English,Documentaries,7.1,5
2015-10-09,Winter on Fire: Ukraine's Fight for Freedom,Documentary,0 days 01:31:00,Ukrainian,Documentaries,8.3,6
2015-10-16,Beasts of No Nation,War drama,0 days 02:17:00,English,Feature films,7.7,7
2015-12-04,A Very Murray Christmas,Comedy / Musical,0 days 00:56:00,English,Specials,5.5,8
2015-12-11,The Ridiculous 6,Western comedy,0 days 02:00:00,English,Feature films,4.8,9
2016-03-18,My Beautiful Broken Brain,Documentary,0 days 01:31:00,English,Documentaries,,10
2016-03-18,Pee-wee's Big Holiday,Adventure comedy,0 days 01:30:00,English,Feature films,6.1,11
2016-04-29,Special Correspondents,Satire,0 days 01:41:00,English,Feature films,5.9,12
2016-04-29,Team Foxcatcher,Documentary,0 days 01:30:00,English,Documentaries,7.2,13
2016-05-27,The Do-Over,Action comedy,0 days 01:48:00,English,Feature films,5.7,14
2016-06-24,The Fundamentals of Caring,Comedy drama,0 days 01:37:00,English,Feature films,7.3,15
2016-07-07,Brahman Naman,Sex comedy,0 days 01:35:00,English,Feature films,5.5,16
2016-07-15,Rebirth,Thriller,0 days 01:40:00,English,Feature films,5.1,17
2016-07-15,Tony Robbins: I Am Not Your Guru,Documentary,0 days 01:56:00,English,Documentaries,6.6,18
2016-07-29,Tallulah,Comedy drama,0 days 01:51:00,English,Feature films,6.7,19
2016-08-19,I'll Sleep When I'm Dead,Documentary,0 days 01:19:00,English,Documentaries,6.6,20
2016-08-26,XOXO,Drama,0 days 01:32:00,English,Feature films,5.3,21
2016-09-13,Extremis,Documentary,0 days 00:24:00,English,Documentaries,7.2,22
2016-09-16,ARQ,Science fiction / Thriller,0 days 01:28:00,English,Feature films,6.3,23
2016-09-16,The White Helmets,Documentary,0 days 00:40:00,English,Documentaries,7.5,24
2016-09-23,Audrie & Daisy,Documentary,0 days 01:38:00,English,Documentaries,7.2,25
2016-09-30,Amanda Knox,Documentary,0 days 01:32:00,English,Documentaries,6.9,26
2016-10-07,13th,Documentary,0 days 01:40:00,English,Documentaries,8.2,27
2016-10-07,The Siege of Jadotville,War,0 days 01:48:00,English,Feature films,7.2,28
2016-10-12,Justin Timberlake + The Tennessee Kids,Concert film,0 days 01:30:00,English,Specials,,29
2016-10-13,Mascots,Mockumentary,0 days 01:35:00,English,Feature films,5.8,30
2016-10-14,Sky Ladder: The Art of Cai Guo-Qiang,Documentary,0 days 01:19:00,Mandarin,Documentaries,7.3,31
2016-10-28,7 años,Drama,0 days 01:17:00,Spanish,Feature films,,32
2016-10-28,I Am the Pretty Thing That Lives in the House,Horror,0 days 01:29:00,English,Feature films,4.6,33
2016-10-28,Into the Inferno,Documentary,0 days 01:47:00,English,Documentaries,7.2,34
2016-11-04,The Ivory Game,Documentary,0 days 01:52:00,English,Documentaries,7.8,35
2016-11-11,True Memoirs of an International Assassin,Action comedy,0 days 01:38:00,English,Feature films,5.9,36
2016-11-22,Mercy,Thriller,0 days 01:27:00,English,Feature films,6.3,37
2016-12-09,Spectral,Science fiction / Action,0 days 01:48:00,English,Feature films,6.3,38
2016-12-16,Barry,Biopic,0 days 01:44:00,English,Feature films,6.0,39
2017-01-06,Coin Heist,Heist,0 days 01:37:00,English,Feature films,4.8,40
2017-01-13,Clinical,Horror thriller,0 days 01:44:00,English,Feature films,5.1,41
